# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:P'
# Event count (approx.): 1317729589
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                                                                                           
# ........  ...............  ................................  .................................................................................................................................................................................................................................................................................................................................
#
     0.09%  Xorg             [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.09%  tracker-extract  [kernel.kallsyms]                 [k] native_irq_return_iret
     0.09%  swapper          [kernel.kallsyms]                 [k] tick_nohz_stop_tick
     0.09%  InputThread      libinput_drv.so                   [.] libinput_dispatch@plt
     0.09%  swapper          [kernel.kallsyms]                 [k] tick_check_oneshot_broadcast_this_cpu
     0.09%  gnome-shell      [kernel.kallsyms]                 [k] clear_bhb_loop
     0.09%  swapper          [kernel.kallsyms]                 [k] nohz_run_idle_balance
     0.09%  Xorg             [kernel.kallsyms]                 [k] clear_bhb_loop
     0.09%  swapper          [kernel.kallsyms]                 [k] __remove_hrtimer
     0.09%  swapper          [kernel.kallsyms]                 [k] call_cpuidle
     0.09%  irq/133-ELAN050  [kernel.kallsyms]                 [k] __wake_up_common
     0.09%  swapper          [kernel.kallsyms]                 [k] local_clock_noinstr
     0.08%  swapper          [kernel.kallsyms]                 [k] rb_erase
     0.08%  swapper          [kernel.kallsyms]                 [k] kthread_is_per_cpu
     0.08%  swapper          [kernel.kallsyms]                 [k] account_process_tick
     0.08%  swapper          [kernel.kallsyms]                 [k] set_next_entity
     0.08%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_map_object
     0.08%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_name_match_p
     0.08%  tracker-extract  ld-linux-x86-64.so.2              [.] _dl_map_object_from_fd
     0.08%  swapper          [kernel.kallsyms]                 [k] xhci_update_erst_dequeue
     0.08%  tracker-extract  [kernel.kallsyms]                 [k] clear_bhb_loop
     0.08%  Xorg             Xorg                              [.] dixLookupResourceByClass
     0.08%  gnome-shell      [kernel.kallsyms]                 [k] do_syscall_64
     0.08%  InputThread      [kernel.kallsyms]                 [k] __update_idle_core
     0.08%  swapper          [kernel.kallsyms]                 [k] arch_scale_freq_tick
     0.08%  gnome-terminal-  libc.so.6                         [.] malloc
     0.08%  gnome-shell      [kernel.kallsyms]                 [k] _copy_from_user
     0.08%  gnome-shell      libc.so.6                         [.] cfree@GLIBC_2.2.5
     0.08%  swapper          [kernel.kallsyms]                 [k] timer_clear_idle
     0.08%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x0000000000279e48
     0.08%  swapper          [kernel.kallsyms]                 [k] switch_ldt
     0.08%  InputThread      libinput.so.10.13.0               [.] 0x0000000000020140
     0.08%  swapper          [kernel.kallsyms]                 [k] xhci_irq
     0.08%  swapper          [kernel.kallsyms]                 [k] run_posix_cpu_timers
     0.07%  swapper          [kernel.kallsyms]                 [k] record_times
     0.07%  nautilus         libc.so.6                         [.] __strcmp_avx2
     0.07%  gnome-terminal-  libglib-2.0.so.0.8000.0           [.] g_hash_table_lookup
     0.07%  tracker-extract  [kernel.kallsyms]                 [k] filemap_map_pages
     0.07%  swapper          [kernel.kallsyms]                 [k] pvclock_gtod_notify
     0.07%  swapper          [kernel.kallsyms]                 [k] place_entity
     0.07%  Xorg             Xorg                              [.] 0x000000000006fdc4
     0.07%  tracker-extract  [kernel.kallsyms]                 [k] memset_orig
     0.07%  swapper          [kernel.kallsyms]                 [k] _nohz_idle_balance.isra.0
     0.07%  swapper          [kernel.kallsyms]                 [k] __dequeue_entity
     0.07%  swapper          [kernel.kallsyms]                 [k] ct_nmi_enter
     0.07%  swapper          [kernel.kallsyms]                 [k] psi_flags_change
     0.07%  InputThread      Xorg                              [.] 0x00000000001c8fcb
     0.07%  irq/133-ELAN050  [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.07%  pool-tracker-mi  libc.so.6                         [.] malloc_consolidate
     0.07%  swapper          [kernel.kallsyms]                 [k] rcu_sched_clock_irq
     0.07%  swapper          [kernel.kallsyms]                 [k] ct_kernel_exit_state
     0.07%  gnome-shell      libgjs.so.0.0.0                   [.] 0x000000000006634a
     0.07%  gnome-shell      [kernel.kallsyms]                 [k] do_poll.constprop.0
     0.07%  perf             [kernel.kallsyms]                 [k] fsnotify
     0.07%  InputThread      libm.so.6                         [.] hypot@@GLIBC_2.35
     0.07%  swapper          [kernel.kallsyms]                 [k] _raw_spin_unlock_irqrestore
     0.07%  gnome-shell      [kernel.kallsyms]                 [k] drain_obj_stock
     0.07%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055c626
     0.07%  gnome-terminal-  libgobject-2.0.so.0.8000.0        [.] g_type_check_instance_is_a
     0.07%  kworker/u32:4-e  [kernel.kallsyms]                 [k] mem_cgroup_css_rstat_flush
     0.07%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_hash_table_lookup
     0.07%  gnome-shell      libc.so.6                         [.] __libc_recvmsg
     0.06%  swapper          [kernel.kallsyms]                 [k] raw_spin_rq_lock_nested
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] __handle_mm_fault
     0.06%  at-spi2-registr  [kernel.kallsyms]                 [k] _raw_spin_unlock_irqrestore
     0.06%  Xorg             [kernel.kallsyms]                 [k] __wake_up_common
     0.06%  swapper          [kernel.kallsyms]                 [k] hrtimer_interrupt
     0.06%  InputThread      [kernel.kallsyms]                 [k] drm_master_put
     0.06%  Xorg             Xorg                              [.] DeliverRawEvent
     0.06%  swapper          [kernel.kallsyms]                 [k] handle_tx_event.isra.0
     0.06%  swapper          [kernel.kallsyms]                 [k] native_apic_msr_eoi
     0.06%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055573f
     0.06%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_mutex_unlock
     0.06%  gnome-shell      libc.so.6                         [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.06%  swapper          [kernel.kallsyms]                 [k] sched_ttwu_pending
     0.06%  kworker/u32:2-e  [kernel.kallsyms]                 [k] mem_cgroup_css_rstat_flush
     0.06%  gnome-terminal-  libglib-2.0.so.0.8000.0           [.] g_hash_table_remove
     0.06%  gnome-terminal-  [kernel.kallsyms]                 [k] tty_poll
     0.06%  InputThread      [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] sync_regs
     0.06%  migration/14     [kernel.kallsyms]                 [k] native_sched_clock
     0.06%  swapper          [kernel.kallsyms]                 [k] pm_qos_read_value
     0.06%  swapper          [kernel.kallsyms]                 [k] ttwu_do_activate
     0.06%  swapper          [kernel.kallsyms]                 [k] irq_work_tick
     0.06%  swapper          [kernel.kallsyms]                 [k] tick_program_event
     0.06%  gnome-shell      libc.so.6                         [.] __memmove_avx_unaligned_erms
     0.06%  InputThread      Xorg                              [.] 0x00000000000e345a
     0.06%  InputThread      Xorg                              [.] 0x0000000000124564
     0.06%  InputThread      Xorg                              [.] 0x000000000015a546
     0.06%  gnome-terminal-  libc.so.6                         [.] __GI___pthread_disable_asynccancel
     0.06%  kworker/u33:0-i  [kernel.kallsyms]                 [k] intel_display_power_put_mask_in_set
     0.06%  kworker/u33:0-i  [kernel.kallsyms]                 [k] kick_pool
     0.06%  swapper          [kernel.kallsyms]                 [k] __enqueue_entity
     0.06%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_mutex_lock
     0.06%  Xorg             [kernel.kallsyms]                 [k] __memcg_slab_post_alloc_hook
     0.06%  swapper          [kernel.kallsyms]                 [k] pick_next_task
     0.06%  swapper          [kernel.kallsyms]                 [k] avg_vruntime
     0.06%  Xorg             Xorg                              [.] GrabMatchesSecond
     0.06%  swapper          [kernel.kallsyms]                 [k] rb_insert_color
     0.06%  pool-tracker-mi  libc.so.6                         [.] unlink_chunk.isra.0
     0.06%  swapper          [kernel.kallsyms]                 [k] enqueue_task
     0.06%  InputThread      Xorg                              [.] valuator_mask_zero
     0.06%  InputThread      Xorg                              [.] 0x000000000007af52
     0.06%  InputThread      [kernel.kallsyms]                 [k] intel_atomic_plane_check_clipping
     0.06%  InputThread      [kernel.kallsyms]                 [k] rseq_ip_fixup
     0.06%  InputThread      [kernel.kallsyms]                 [k] ttwu_queue_wakelist
     0.06%  InputThread      libinput.so.10.13.0               [.] 0x0000000000015b88
     0.06%  InputThread      libinput_drv.so                   [.] 0x000000000000fa40
     0.05%  usb-storage      [kernel.kallsyms]                 [k] __kmalloc
     0.05%  gnome-shell      libc.so.6                         [.] __GI___pthread_disable_asynccancel
     0.05%  gnome-shell      [kernel.kallsyms]                 [k] do_sys_poll
     0.05%  gdbus            libc.so.6                         [.] _int_malloc
     0.05%  kworker/u32:4-e  [kernel.kallsyms]                 [k] newidle_balance
     0.05%  Xorg             libc.so.6                         [.] __memset_avx2_unaligned_erms
     0.05%  swapper          [kernel.kallsyms]                 [k] update_rt_rq_load_avg
     0.05%  swapper          [kernel.kallsyms]                 [k] __irq_exit_rcu
     0.05%  swapper          [kernel.kallsyms]                 [k] sched_clock_cpu
     0.05%  pool-tracker-mi  libc.so.6                         [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.05%  Xorg             Xorg                              [.] WaitForSomething
     0.05%  Xorg             Xorg                              [.] mieqProcessInputEvents
     0.05%  Xorg             [kernel.kallsyms]                 [k] entry_SYSCALL_64_after_hwframe
     0.05%  swapper          [kernel.kallsyms]                 [k] need_update
     0.05%  swapper          [kernel.kallsyms]                 [k] asm_sysvec_apic_timer_interrupt
     0.05%  nautilus         libgtk-4.so.1.1400.2              [.] 0x000000000050c62b
     0.05%  gnome-shell      libglib-2.0.so.0.8000.0           [.] 0x000000000005b7f7
     0.05%  Xorg             [kernel.kallsyms]                 [k] refill_obj_stock
     0.05%  gnome-terminal-  [kernel.kallsyms]                 [k] psi_group_change
     0.05%  nautilus         libglib-2.0.so.0.8000.0           [.] g_hash_table_lookup
     0.05%  gnome-shell      libc.so.6                         [.] __libc_calloc
     0.05%  gdbus            libglib-2.0.so.0.8000.0           [.] g_variant_type_info_get
     0.05%  gnome-shell      libc.so.6                         [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.05%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_utf8_validate
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002e412a
     0.05%  swapper          [kernel.kallsyms]                 [k] hrtimer_start_range_ns
     0.05%  swapper          [kernel.kallsyms]                 [k] rcu_needs_cpu
     0.05%  swapper          [kernel.kallsyms]                 [k] update_cfs_group
     0.05%  gnome-terminal-  libc.so.6                         [.] _int_malloc
     0.05%  Xorg             [kernel.kallsyms]                 [k] dequeue_entity
     0.05%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_free
     0.05%  Xorg             [kernel.kallsyms]                 [k] x64_sys_call
     0.05%  swapper          [kernel.kallsyms]                 [k] rebalance_domains
     0.05%  Xorg             [kernel.kallsyms]                 [k] __fdget
     0.05%  pool-tracker-mi  libsqlite3.so.0.8.6               [.] sqlite3VdbeExec
     0.05%  swapper          [kernel.kallsyms]                 [k] tick_nohz_stop_idle
     0.05%  swapper          [kernel.kallsyms]                 [k] update_sd_lb_stats.constprop.0
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055c5d3
     0.05%  gnome-terminal-  libc.so.6                         [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.05%  swapper          [kernel.kallsyms]                 [k] sched_clock_noinstr
     0.05%  swapper          [kernel.kallsyms]                 [k] __wrgsbase_inactive
     0.05%  gnome-shell      libc.so.6                         [.] _int_free
     0.05%  swapper          [kernel.kallsyms]                 [k] idle_cpu
     0.05%  swapper          [kernel.kallsyms]                 [k] schedule_debug.isra.0
     0.05%  Xorg             Xorg                              [.] PickPointer
     0.05%  gnome-terminal-  libgtk-3.so.0.2409.32             [.] gtk_main_do_event
     0.05%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x00000000002595ce
     0.05%  gnome-shell      [kernel.kallsyms]                 [k] update_curr
     0.05%  swapper          [kernel.kallsyms]                 [k] schedule_idle
     0.05%  tracker-extract  [kernel.kallsyms]                 [k] mas_walk
     0.05%  InputThread      [kernel.kallsyms]                 [k] update_curr
     0.05%  gnome-shell      [kernel.kallsyms]                 [k] i915_active_acquire
     0.05%  Xorg             Xorg                              [.] WakeupHandler
     0.05%  gnome-terminal-  [kernel.kallsyms]                 [k] __memcg_slab_free_hook
     0.05%  gnome-shell      libglib-2.0.so.0.8000.0           [.] 0x000000000005e295
     0.05%  gnome-terminal-  libgtk-3.so.0.2409.32             [.] gtk_widget_hide
     0.05%  swapper          [kernel.kallsyms]                 [k] sysvec_apic_timer_interrupt
     0.05%  Xorg             Xorg                              [.] EventToXI2
     0.05%  gnome-terminal-  [kernel.kallsyms]                 [k] do_sys_poll
     0.05%  Xorg             Xorg                              [.] 0x000000000006fdc7
     0.05%  gnome-shell      [kernel.kallsyms]                 [k] eb_lookup_vma
     0.05%  Xorg             libc.so.6                         [.] __libc_calloc
     0.05%  gnome-terminal-  [kernel.kallsyms]                 [k] sock_poll
     0.04%  tracker-extract  [kernel.kallsyms]                 [k] seccomp_cache_prepare_bitmap.constprop.0.isra.0
     0.04%  gnome-terminal-  [kernel.kallsyms]                 [k] __raw_spin_lock_irqsave
     0.04%  swapper          [kernel.kallsyms]                 [k] calc_load_nohz_start
     0.04%  gnome-shell      libpixman-1.so.0.42.2             [.] 0x000000000005aa99
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] i915_gem_do_execbuffer
     0.04%  gnome-terminal-  libgtk-3.so.0.2409.32             [.] gtk_widget_get_toplevel
     0.04%  swapper          [kernel.kallsyms]                 [k] clockevents_program_event
     0.04%  Xorg             [kernel.kallsyms]                 [k] __fdget_pos
     0.04%  swapper          [kernel.kallsyms]                 [k] native_read_msr
     0.04%  gnome-shell      libXext.so.6.4.0                  [.] XextFindDisplay
     0.04%  Xorg             Xorg                              [.] miSpriteTrace
     0.04%  gnome-terminal-  libglib-2.0.so.0.8000.0           [.] g_mutex_lock
     0.04%  nautilus         libglib-2.0.so.0.8000.0           [.] g_rw_lock_reader_lock
     0.04%  gnome-terminal-  [kernel.kallsyms]                 [k] syscall_exit_to_user_mode
     0.04%  gnome-terminal-  libgobject-2.0.so.0.8000.0        [.] g_value_init
     0.04%  swapper          [kernel.kallsyms]                 [k] quiet_vmstat
     0.04%  swapper          [kernel.kallsyms]                 [k] __flush_smp_call_function_queue
     0.04%  swapper          [kernel.kallsyms]                 [k] __sysvec_apic_timer_interrupt
     0.04%  swapper          [kernel.kallsyms]                 [k] hrtimer_update_next_event
     0.04%  swapper          [kernel.kallsyms]                 [k] _raw_spin_unlock
     0.04%  swapper          [kernel.kallsyms]                 [k] arch_cpu_idle_enter
     0.04%  tracker-extract  [kernel.kallsyms]                 [k] find_rule
     0.04%  gdbus            [kernel.kallsyms]                 [k] __get_user_8
     0.04%  swapper          [kernel.kallsyms]                 [k] ct_nmi_exit
     0.04%  InputThread      [kernel.kallsyms]                 [k] __fdget
     0.04%  Xorg             [kernel.kallsyms]                 [k] newidle_balance
     0.04%  swapper          [kernel.kallsyms]                 [k] __hrtimer_run_queues
     0.04%  InputThread      libinput.so.10.13.0               [.] libinput_dispatch
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] apparmor_file_permission
     0.04%  swapper          [kernel.kallsyms]                 [k] menu_reflect
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] update_cfs_group
     0.04%  Xorg             Xorg                              [.] IsMaster
     0.04%  Xorg             [kernel.kallsyms]                 [k] obj_cgroup_charge
     0.04%  swapper          [kernel.kallsyms]                 [k] cpupri_set
     0.04%  gnome-terminal-  libgtk-3.so.0.2409.32             [.] gtk_widget_get_type
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] ksys_write
     0.04%  nautilus         libgtk-4.so.1.1400.2              [.] 0x0000000000436680
     0.04%  tracker-miner-f  libc.so.6                         [.] _int_malloc
     0.04%  systemd-oomd     [kernel.kallsyms]                 [k] do_syscall_64
     0.04%  swapper          [kernel.kallsyms]                 [k] tick_nohz_idle_got_tick
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] fput
     0.04%  nautilus         [kernel.kallsyms]                 [k] native_queued_spin_lock_slowpath
     0.04%  swapper          [kernel.kallsyms]                 [k] update_blocked_averages
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] __mod_memcg_lruvec_state
     0.04%  swapper          [kernel.kallsyms]                 [k] update_process_times
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] apparmor_socket_recvmsg
     0.04%  gnome-shell      libc.so.6                         [.] malloc
     0.04%  nautilus         libglib-2.0.so.0.8000.0           [.] getenv@plt
     0.04%  gnome-shell      libc.so.6                         [.] __GI___libc_write
     0.04%  systemd-resolve  libsystemd-shared-255.so          [.] dns_label_unescape
     0.04%  irq/133-ELAN050  [kernel.kallsyms]                 [k] input_get_disposition
     0.04%  nautilus         [kernel.kallsyms]                 [k] drm_syncobj_find
     0.04%  gnome-shell      libmutter-clutter-14.so.0.0.0     [.] clutter_input_device_get_type
     0.04%  gnome-terminal-  libglib-2.0.so.0.8000.0           [.] g_mutex_unlock
     0.04%  gnome-terminal-  [kernel.kallsyms]                 [k] drain_obj_stock
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] rep_movs_alternative
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] schedule
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] perf_adjust_freq_unthr_context
     0.04%  swapper          [kernel.kallsyms]                 [k] ct_kernel_exit.isra.0
     0.04%  Xorg             libc.so.6                         [.] __setitimer
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] check_stack_object
     0.04%  Xorg             [kernel.kallsyms]                 [k] entry_SYSCALL_64
     0.04%  nautilus         iris_dri.so                       [.] 0x0000000000fecb75
     0.04%  Xorg             [kernel.kallsyms]                 [k] clear_page_erms
     0.04%  Xorg             libc.so.6                         [.] clock_gettime@@GLIBC_2.17
     0.04%  tracker-miner-f  [kernel.kallsyms]                 [k] copy_present_pte
     0.04%  gnome-shell      libc.so.6                         [.] __poll
     0.04%  gnome-shell      libgraphene-1.0.so.0.1000.8       [.] graphene_rect_normalize_r
     0.04%  InputThread      libc.so.6                         [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] newidle_balance
     0.04%  gnome-terminal-  libgobject-2.0.so.0.8000.0        [.] g_type_check_instance
     0.04%  Xorg             [kernel.kallsyms]                 [k] native_sched_clock
     0.04%  gnome-shell      libgraphene-1.0.so.0.1000.8       [.] graphene_matrix_multiply
     0.04%  Xorg             nvidia_drv.so                     [.] 0x00000000004b8ec0
     0.04%  nautilus         libgtk-4.so.1.1400.2              [.] gsk_border_node_get_colors
     0.04%  Xorg             [kernel.kallsyms]                 [k] __mod_memcg_lruvec_state
     0.04%  tracker-extract  [kernel.kallsyms]                 [k] clear_page_erms
     0.04%  pool-tracker-mi  libc.so.6                         [.] pthread_mutex_lock@@GLIBC_2.2.5
     0.04%  swapper          [kernel.kallsyms]                 [k] flush_smp_call_function_queue
     0.04%  at-spi2-registr  [kernel.kallsyms]                 [k] __switch_to_asm
     0.04%  nautilus         [kernel.kallsyms]                 [k] rep_movs_alternative
     0.04%  swapper          [kernel.kallsyms]                 [k] switch_mm
     0.04%  gnome-shell      [kernel.kallsyms]                 [k] __memcg_slab_post_alloc_hook
     0.04%  Xorg             nvidia_drv.so                     [.] 0x0000000000082560
     0.04%  Xorg             [kernel.kallsyms]                 [k] pollwake
     0.04%  swapper          [kernel.kallsyms]                 [k] try_to_wake_up
     0.03%  dbus-daemon      [kernel.kallsyms]                 [k] ep_poll
     0.03%  gnome-shell      libc.so.6                         [.] __printf_buffer
     0.03%  gnome-terminal-  [kernel.kallsyms]                 [k] fput
     0.03%  nautilus         [kernel.kallsyms]                 [k] apparmor_file_permission
     0.03%  Xorg             [kernel.kallsyms]                 [k] __kmalloc_node_track_caller
     0.03%  swapper          [kernel.kallsyms]                 [k] wakeup_preempt
     0.03%  swapper          [kernel.kallsyms]                 [k] available_idle_cpu
     0.03%  Xorg             libglamoregl.so                   [.] 0x000000000000a5f0
     0.03%  swapper          [kernel.kallsyms]                 [k] nohz_balance_enter_idle
     0.03%  swapper          [kernel.kallsyms]                 [k] sched_core_idle_cpu
     0.03%  nautilus         libc.so.6                         [.] cfree@GLIBC_2.2.5
     0.03%  nautilus         libgtk-4.so.1.1400.2              [.] 0x00000000002e3236
     0.03%  swapper          [kernel.kallsyms]                 [k] calc_global_load
     0.03%  swapper          [kernel.kallsyms]                 [k] calc_load_nohz_stop
     0.03%  gnome-shell      libmutter-clutter-14.so.0.0.0     [.] clutter_seat_get_pointer
     0.03%  swapper          [kernel.kallsyms]                 [k] _find_first_bit
     0.03%  Xorg             [kernel.kallsyms]                 [k] __virt_addr_valid
     0.03%  tracker-extract  libgobject-2.0.so.0.8000.0        [.] g_value_take_string
     0.03%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x0000000000bf1003
     0.03%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] 0x00000000000dc7ba
     0.03%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] 0x00000000000d8368
     0.03%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_pointer_bit_unlock_and_set
