# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles:P'
# Event count (approx.): 34083293777
#
# Overhead  Command    Shared Object      Symbol                              
# ........  .........  .................  ....................................
#
    96.02%  main_perf  main_perf          [.] multiply_matrix_v2
     1.60%  main_perf  libc.so.6          [.] __vfscanf_internal
     0.28%  main_perf  libc.so.6          [.] __GI_____strtoll_l_internal
     0.23%  main_perf  libc.so.6          [.] __printf_buffer
     0.22%  main_perf  main_perf          [.] get_matrix
     0.18%  main_perf  [kernel.kallsyms]  [k] process_output_block
     0.15%  main_perf  libc.so.6          [.] _IO_sputbackc
     0.13%  main_perf  libc.so.6          [.] __isoc99_scanf
     0.12%  main_perf  libc.so.6          [.] _itoa_word
     0.08%  main_perf  libc.so.6          [.] __printf_buffer_write
     0.08%  main_perf  main_perf          [.] print_matrix
     0.07%  main_perf  libc.so.6          [.] _IO_file_xsputn@@GLIBC_2.2.5
     0.06%  main_perf  [kernel.kallsyms]  [k] __raw_spin_lock_irqsave
     0.06%  main_perf  libc.so.6          [.] __strchrnul_avx2
     0.03%  main_perf  libc.so.6          [.] __printf_buffer_to_file_done
     0.03%  main_perf  libc.so.6          [.] __memmove_avx_unaligned_erms
     0.03%  main_perf  libc.so.6          [.] printf
     0.03%  main_perf  [kernel.kallsyms]  [k] native_write_msr
     0.03%  main_perf  libc.so.6          [.] __GI___libc_cleanup_pop_restore
     0.03%  main_perf  libc.so.6          [.] __vfprintf_internal
     0.02%  main_perf  libc.so.6          [.] __GI___libc_cleanup_push_defer
     0.02%  main_perf  [kernel.kallsyms]  [k] native_irq_return_iret
     0.02%  main_perf  [kernel.kallsyms]  [k] clear_page_erms
     0.02%  main_perf  [kernel.kallsyms]  [k] rep_movs_alternative
     0.02%  main_perf  [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.02%  main_perf  [kernel.kallsyms]  [k] memset_orig
     0.01%  main_perf  main_perf          [.] __isoc99_scanf@plt
     0.01%  main_perf  libc.so.6          [.] __printf_buffer_done
     0.01%  main_perf  libc.so.6          [.] __printf_buffer_to_file_init
     0.01%  main_perf  [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  main_perf  libc.so.6          [.] __printf_buffer_to_file_switch
     0.01%  main_perf  [kernel.kallsyms]  [k] __queue_work.part.0
     0.01%  main_perf  [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.01%  main_perf  libc.so.6          [.] memcpy@@GLIBC_2.14@plt
